Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
124567_poprawny_L2A_roi,spectral angle mapping,Erosion,751,71.7710,68.4472,74.8731,72.4368,69.1329,75.5122,0.6658,-0.2740,1.6056,nie,68.4342,69.4545,1.0203
124567_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,751,73.6352,70.3693,76.6604,74.1678,70.9198,77.1698,0.5326,-0.1055,1.1708,nie,69.7424,70.3869,0.6445
124567_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,751,44.3409,40.8256,47.9138,54.8602,51.2854,58.3855,10.5193,7.2525,13.7862,TAK,48.2961,60.6449,12.3488
124567_zbledami_L1C_class,random forest,MAD,751,39.5473,36.1120,43.0890,58.1891,54.6284,61.6664,18.6418,15.4042,21.8795,TAK,45.3666,65.2805,19.9139
124567_zbledami_L1C_class,multi-layer perceptron,MAD,751,80.1598,77.1572,82.8554,78.9614,75.9027,81.7253,-1.1984,-3.2012,0.8044,nie,72.4811,73.6439,1.1628
124567_zbledami_L1C_class,support vector machine,IQR,751,82.8229,79.9600,85.3518,85.3529,82.6442,87.7017,2.5300,0.9102,4.1497,TAK,81.6612,84.6731,3.0119
124567_zbledami_L1C_class,spectral angle mapping,MAD,751,81.7577,78.8363,84.3558,81.8908,78.9765,84.4805,0.1332,-1.0628,1.3291,nie,79.7379,79.9770,0.2390
124567_zbledami_L1C_class,minimum distance,IQR,751,80.1598,77.1572,82.8554,82.0240,79.1169,84.6051,1.8642,0.0236,3.7048,TAK,77.5202,78.8339,1.3137
124567_zbledami_L1C_roi,maximum likelihood,SAM,751,44.3409,40.8256,47.9138,45.9387,42.4042,49.5146,1.5979,0.3791,2.8166,TAK,48.2961,49.7742,1.4781
124567_zbledami_L1C_roi,random forest,Mahalanobis,751,39.9467,36.5035,43.4923,45.5393,42.0092,49.1147,5.5925,3.6110,7.5741,TAK,45.8793,52.9018,7.0226
124567_zbledami_L1C_roi,multi-layer perceptron,IQR,751,76.0320,72.8513,78.9477,82.1571,79.2572,84.7297,6.1252,3.6331,8.6173,TAK,71.8109,78.6429,6.8320
124567_zbledami_L1C_roi,support vector machine,IQR,751,82.8229,79.9600,85.3518,83.7550,80.9462,86.2202,0.9321,-1.0022,2.8664,nie,81.6612,81.2949,-0.3662
124567_zbledami_L1C_roi,spectral angle mapping,PCA_Reconstruction,751,81.7577,78.8363,84.3558,81.2250,78.2758,83.8565,-0.5326,-1.2698,0.2046,nie,79.7379,79.0067,-0.7312
124567_zbledami_L1C_roi,minimum distance,LOF,751,80.1598,77.1572,82.8554,80.2929,77.2969,82.9807,0.1332,-0.5573,0.8236,nie,77.5202,77.7044,0.1843
124567_zbledami_L2A_class,maximum likelihood,Percentile,751,60.4527,56.9110,63.8880,64.8469,61.3645,68.1782,4.3941,2.3467,6.4416,TAK,56.7101,60.1641,3.4540
124567_zbledami_L2A_class,random forest,IQR,751,77.0972,73.9585,79.9601,79.2277,76.1811,81.9768,2.1305,-0.6273,4.8882,nie,74.1500,75.1406,0.9906
124567_zbledami_L2A_class,multi-layer perceptron,EllipticEnvelope,751,67.2437,63.8067,70.5051,79.2277,76.1811,81.9768,11.9840,8.9945,14.9735,TAK,64.3884,72.5388,8.1504
124567_zbledami_L2A_class,support vector machine,Percentile,751,82.4234,79.5382,84.9787,83.8881,81.0874,86.3440,1.4647,-0.0308,2.9603,nie,82.0275,82.8141,0.7865
